Timestamp,Decision,College,Major,GPA,Credit Hours (Please include the exact number),Residency,CAP
6/8/21 19:03,Admitted,Moody,Pre-Public Relations,4,28,In State,No
6/8/21 19:07,Admitted,Moody,Advertising,3.91,48,In State,No
6/8/21 19:08,Admitted,Moody,Radio-Television-Film,4,61,In State,No
6/8/21 19:25,Admitted,COLA,Government,4,31,In State,Yes
6/8/21 19:46,Admitted,Moody,Pre-Public Relations,4,52,In State,No
6/8/21 19:47,Admitted,Education,Physical Culture And Sports,3.7,62,Out of State,No
6/8/21 20:01,Denied,COLA,Gender Studies,4,24,In State,No
6/8/21 20:08,Admitted,Education,Physical Culture And Sports,4,32,In State,No
6/8/21 20:26,Admitted,Moody,Advertising,4,33,In State,Yes
6/8/21 21:08,Admitted,CNS,Biology,3.76,34,In State,Yes
6/8/21 21:08,Admitted,CNS,Biology,4,48,In State,Yes
6/8/21 21:08,Admitted,COLA,Government,3.71,56,In State,Yes
6/8/21 21:23,Admitted,CNS,Biology,3.86,32,In State,Yes
6/8/21 21:25,Admitted,Moody,Corporate Communications,4,32,In State,Yes
6/8/21 21:37,Admitted,CNS,Biochemistry,3.85,35,In State,Yes
6/8/21 21:53,Admitted,Moody,Pre-Public Relations,3.89,60,Out of State,No
6/8/21 22:11,Admitted,Education,Kinesiology,3.74,32,In State,Yes
6/8/21 22:12,Admitted,Social Work,Social Work,4,31,In State,Yes
6/8/21 22:16,Admitted,CNS,Biology,3.76,40,In State,Yes
6/8/21 22:32,Admitted,CNS,Public Health,3.2,43,In State,Yes
6/8/21 22:35,Admitted,CNS,Public Health,3.84,43,In State,Yes
6/8/21 23:07,Admitted,Moody,Advertising,4,46,In State,No
6/8/21 23:11,Admitted,Education,Kinesiology,3.74,32,In State,Yes
6/9/21 0:56,Admitted,Moody,Radio-Television-Film,3.93,30,In State,Yes
6/9/21 7:33,Admitted,COFA,Arts And Entertainment Technologies,3.7,30,In State,No
6/9/21 9:39,Admitted,Moody,Advertising,3.83,30,In State,Yes
6/9/21 10:06,Denied,McCombs,Finance,4,62,In State,No
6/9/21 10:51,Admitted,Moody,Radio-Television-Film,3.81,32,In State,Yes
6/9/21 10:56,Admitted,CNS,Biology,3.86,32,In State,Yes
6/9/21 11:14,Admitted,COLA,Psychology,3.76,30,In State,Yes
6/9/21 13:02,Admitted,Education,Behavioral Science And Health Promotion,4,27,In State,No
6/9/21 13:47,Admitted,Moody,Advertising,4,28,In State,Yes
6/9/21 14:01,Admitted,COLA,Linguisitcs,3.32,30,In State,Yes
6/9/21 15:51,Admitted,Education,Exercise Science,3.83,30,In State,Yes
6/9/21 16:23,Admitted,McCombs,Unspecified Business,4,32,In State,Yes
6/9/21 18:23,Admitted,McCombs,Management Information Systems,4,36,In State,No
6/9/21 18:33,Admitted,Moody,Radio-Television-Film,3.9,26,In State,No
6/9/21 18:50,Admitted,McCombs,Finance,4,44,In State,No
6/9/21 18:54,Admitted,McCombs,Unspecified Business,4,34,In State,Yes
6/9/21 19:07,Admitted,McCombs,Finance,4,56,In State,No
6/9/21 19:15,Admitted,Education,Exercise Science,3.87,31,In State,Yes
6/9/21 19:24,Admitted,McCombs,Finance,4,57,In State,No
6/9/21 19:26,Admitted,Education,Kinesiology,3.6,62,In State,Yes
6/9/21 19:28,Admitted,CNS,Biochemistry,3.5,85,In State,Yes
6/9/21 19:38,Admitted,McCombs,Unspecified Business,4,49,In State,Yes
6/9/21 19:44,Admitted,McCombs,Unspecified Business,4,48,In State,No
6/9/21 19:50,Admitted,Education,Kinesiology,3.6,62,In State,Yes
6/9/21 19:54,Admitted,McCombs,Unspecified Business,4,32,In State,Yes
6/9/21 19:58,Admitted,McCombs,Unspecified Business,3.85,33,In State,No
6/9/21 20:18,Admitted,Education,Exercise Science,3.87,31,In State,Yes
6/9/21 20:24,Admitted,McCombs,Unspecified Business,4,59,In State,No
6/9/21 20:30,Denied,McCombs,Business,4,52,In State,No
6/9/21 20:40,Admitted,McCombs,Finance,4,60,In State,No
6/9/21 20:45,Admitted,McCombs,Unspecified Business,4,29,In State,No
6/9/21 21:14,Admitted,Moody,Public Relations,3.77,32,In State,Yes
6/9/21 22:06,Admitted,McCombs,Unspecified Business,3.91,42,In State,No
6/9/21 22:20,Admitted,Education,Exercise Science,3.87,31,In State,Yes
